aspect,implicit,polarity_intense
price,affordability,4.646
price,bang-for-the-buck,5.282
price,batch,-59.2545
functionality,batch,-59.2545
price,hand,392.2845
price,cheaper,282.10799999999995
price,brassy,12.7205
functionality,brassy,12.7205
quality,brassy,12.7205
price,money,-3181.8645
price,affordable,290.1215
price,yield,4.8260000000000005
price,overprice,9.6875
price,deal,452.6935
price,costs,4.7565
price,expensive,201.3415
quality,expensive,201.3415
price,budget,42.79600000000001
price,cost,-78.244
price,overpriced,-59.2195
price,cheap,-2503.7245000000007
quality,cheap,-2503.7245000000007
price,manage,15.251
functionality,manage,15.251
price,distribute,2.9235
price,cost-effective,5.209
price,inexpensive,266.863
price,cost-efficient,10.808
price,give,-123.2655
performance,give,-123.2655
quality,give,-123.2655
price,conduct,-3.1489999999999996
price,share,120.82700000000001
price,cope,1.626
functionality,cope,1.626
price,pricing,61.338
price,cover,526.626
price,bum,-6.978999999999999
quality,bum,-6.978999999999999
price,price,2590.8315
price,pay,-1522.5729999999999
price,consider,16.925
performance,consider,16.925
quality,consider,16.925
price,default,12.273
price,mid-priced,3.4465000000000003
price,low-cost,0.222
price,bargain,104.305
price,priced,218.426
behavior,stable,67.583
behavior,mum,5.771000000000001
behavior,calm,4.428999999999999
functionality,calm,4.428999999999999
behavior,unstable,-24.475
behavior,noisy,15.9745
behavior,loudly,2.7895000000000003
functionality,loudly,2.7895000000000003
behavior,noiseless,42.468
behavior,active,52.688
behavior,quietly,4.6385000000000005
behavior,softly,2.5525
functionality,softly,2.5525
behavior,quieter,4.7970000000000015
behavior,dumb,-65.12950000000001
behavior,static,-150.24599999999995
behavior,quiet,-13.3525
behavior,sound,212.0125
size,sound,212.0125
performance,sound,212.0125
behavior,silence,-20.1915
performance,silence,-20.1915
behavior,silent,3.6635
weight,weightless,5.5825000000000005
weight,lightweight,236.2075
size,lightweight,236.2075
weight,clean,357.1525000000001
functionality,clean,357.1525000000001
quality,clean,357.1525000000001
weight,grave,0.03699999999999992
weight,big,-70.6435
size,big,-70.6435
weight,sparkle,67.8725
weight,heavier,80.5445
weight,unaccented,42.68700000000001
weight,lightly,-1.9735
weight,dark,-56.495
weight,lighter,102.791
weight,alight,3.637
weight,easy,2514.994
performance,easy,2514.994
weight,barge,5.797999999999999
weight,light,493.3435
weight,idle,-2.1545
functionality,idle,-2.1545
performance,idle,-2.1545
quality,idle,-2.1545
weight,fall,-44.093
weight,heavy,254.11700000000002
weight,fleshy,5.3175
weight,weighty,7.1655
weight,dense,5.8389999999999995
performance,dense,5.8389999999999995
weight,faint,-15.168
size,fiddling,3.778
size,run,200.4185
performance,run,200.4185
size,gain,-20.739
functionality,gain,-20.739
quality,gain,-20.739
size,concave,2.5805
size,compress,2.8395
size,sized,49.3965
size,accommodate,36.9755
functionality,accommodate,36.9755
size,match,121.5995
size,adult,10.2865
size,tiny,78.3295
size,survive,26.0485
quality,survive,26.0485
size,modest,0.8275
size,crack,-129.45999999999998
quality,crack,-129.45999999999998
size,travel,466.089
size,portable,301.1845
size,small,318.1435
size,declare,4.352
functionality,declare,4.352
size,slender,16.895500000000002
size,blend,25.1965
size,loose,-532.7285
size,bulky,703.57
size,proceed,2.107
size,bulging,-9.9575
size,contain,-8.443499999999998
functionality,contain,-8.443499999999998
performance,contain,-8.443499999999998
quality,contain,-8.443499999999998
size,reserve,24.7225
functionality,reserve,24.7225
size,clasp,2.3055
functionality,clasp,2.3055
size,keep,556.8974999999998
functionality,keep,556.8974999999998
size,defend,3.594
functionality,defend,3.594
size,prevail,5.6015000000000015
functionality,prevail,5.6015000000000015
performance,prevail,5.6015000000000015
size,harbor,-0.13100000000000026
functionality,harbor,-0.13100000000000026
size,die,22.843000000000004
size,large,108.804
size,tall,2.7235
size,apply,406.4125
functionality,apply,406.4125
size,bigger,113.818
size,transport,27.5075
functionality,transport,27.5075
size,control,-40.3525
functionality,control,-40.3525
size,belong,-7.571499999999999
size,deem,4.477
functionality,deem,4.477
size,bulge,-18.1275
size,convex,-0.12950000000000014
size,no-go,-3.7310000000000003
size,reduce,44.744
functionality,reduce,44.744
size,handle,116.0215
functionality,handle,116.0215
size,adam,2.858
size,carry,624.1160000000001
functionality,carry,624.1160000000001
performance,carry,624.1160000000001
quality,carry,624.1160000000001
size,function,22.539
functionality,function,22.539
performance,function,22.539
quality,function,22.539
size,frail,-4.3555
size,start,-69.75399999999999
size,post,-75.0785
functionality,post,-75.0785
size,short,-161.6885
size,equip,-1.99
size,halt,-0.6560000000000001
functionality,halt,-0.6560000000000001
size,covenant,11.292
size,meet,-71.063
functionality,meet,-71.063
performance,meet,-71.063
size,move,30.9705
performance,move,30.9705
size,delay,0.7835000000000001
functionality,delay,0.7835000000000001
size,boastful,10.888
size,bad,-1162.0205
size,fit,-700.235
size,oblige,8.672
functionality,oblige,8.672
size,bear,2.01
functionality,bear,2.01
size,stock,134.194
functionality,stock,134.194
size,defy,4.7559999999999985
functionality,defy,4.7559999999999985
size,slim,746.5505
size,decompress,10.8935
size,smaller,107.12
size,retain,-6.2105
functionality,retain,-6.2105
size,pack,369.667
size,fits,2593.849
size,behave,4.3695
functionality,behave,4.3695
size,impart,4.721500000000002
functionality,impart,4.721500000000002
size,restrain,8.788
functionality,restrain,8.788
size,minor,160.484
size,dribble,42.768
functionality,dribble,42.768
size,compact,396.194
size,burst,-7.3995000000000015
size,little,1072.1805000000004
size,agree,-2.8595
functionality,agree,-2.8595
size,become,15.5565
size,disagree,12.0555
functionality,disagree,12.0555
size,come,-128.8535
size,stop,-224.38299999999998
functionality,stop,-224.38299999999998
size,appreciation,5.4255
functionality,appreciation,5.4255
size,full-bodied,7.303999999999999
size,robust,32.512
size,hold,-132.972
functionality,hold,-132.972
quality,hold,-132.972
size,much,829.289
size,rifle,5.1975
size,suit,22.255
size,malfunction,-2.8765
functionality,malfunction,-2.8765
performance,malfunction,-2.8765
quality,malfunction,-2.8765
size,unfit,7.0375
size,size,424.82599999999996
