,0
love,5242.0275
great,5206.094
works,3192.8250000000003
fits,2593.849
price,2590.8315000000002
perfect,2524.384
easy,2514.994
good,2295.8885
well,2240.1
nice,2236.119
perfectly,2073.9535
case,1986.2715
loves,1949.635
very,1881.9495
best,1572.326
protects,1512.1005
recommend,1503.198
phone,1476.7385
awesome,1416.344
highly,1316.7920000000001
protection,1292.3575
really,1243.6275
iphone,1242.6915000000001
excellent,1241.9215
exactly,1241.372
colors,1186.5800000000002
like,1172.8015
cases,1160.973
color,1137.3485
need,1078.4895
fast,1077.374
little,1072.1805000000002
happy,1056.6375
needed,1052.0365
far,1042.9479999999999
loved,1034.0555
car,1020.947
durable,1012.986
looks,1005.0055
job,1001.3130000000001
cute,996.0775
charges,986.5475
bought,973.379
thanks,931.448
thank,930.235
daughter,926.0375
charger,923.0565
battery,919.702
definitely,918.9159999999999
more,905.5655
usb,867.852
screen,866.8445
devices,851.394
sturdy,840.2135000000001
much,829.289
compliments,826.2705000000001
amazing,818.1705000000001
gift,815.5595
wife,815.5020000000001
lot,811.4354999999999
friends,792.0550000000001
problems,786.4944999999999
without,769.894
protected,763.8985
ipad,762.1575
slim,746.5505
always,745.935
feel,726.9045
pleased,710.6305
bulky,703.57
protector,699.126
still,696.038
galaxy,679.9325
friend,678.8665
handy,672.78
phones,661.8439999999999
favorite,646.7
quality,645.5245
extra,641.5794999999999
stylus,635.8885
complaints,624.851
carry,624.1160000000001
everyone,617.7995
install,617.1460000000001
described,614.163
holds,612.4145
pretty,602.3385
recommended,597.8505
makes,592.557
new,590.896
super,590.808
many,583.953
beat,579.68
simple,577.8610000000001
likes,574.4755
bit,572.2415
husband,570.2975
power,570.0695
everything,566.4675
anyone,563.5314999999999
keep,556.8974999999999
bulk,556.4835
value,553.6545
otterbox,549.01
feels,547.453
clear,537.528
looking,534.1595
nicely,532.988
son,532.987
cell,526.9155
cover,526.626
family,525.775
ports,523.7534999999999
dropped,521.6329999999999
beautiful,521.134
issues,518.6540000000001
purse,517.95
absolutely,515.7
long,509.52599999999995
comes,506.87449999999995
5,505.26599999999996
protectors,504.96200000000005
tablet,501.8895
protect,501.17150000000004
glad,494.9385
yet,494.6225
light,493.3435
go,490.95799999999997
provides,490.26849999999996
seems,487.19300000000004
life,481.497
stylish,473.8435
protective,473.39549999999997
cool,472.7695
note,469.2255
using,466.2815
travel,466.089
easier,465.679
pocket,458.663
s3,456.8005
keeps,456.736
several,456.2735
gives,453.94050000000004
deal,452.6935
no,452.0765
grip,448.233
add,447.978
quickly,442.918
wonderful,442.83299999999997
satisfied,442.3775
sleek,440.6865
solid,439.505
charging,433.04449999999997
especially,427.74899999999997
worry,427.14549999999997
size,424.826
fine,421.83000000000004
enough,420.815
purchase,419.9285
must,419.8435
easily,419.58
allows,418.0435
convenient,413.09
protecting,412.983
apply,406.4125
device,402.8495
'm,399.881
quick,399.61100000000005
every,399.19300000000004
bluetooth,398.88599999999997
expected,398.41999999999996
overall,396.83050000000003
batteries,396.475
compact,396.194
hand,392.2845
original,389.1775
comfortable,387.026
helps,386.9905
chargers,384.758
high,383.9845
able,383.8795
nexus,381.19350000000003
spare,381.14250000000004
others,380.563
fantastic,378.279
plus,377.827
kids,377.81850000000003
purchased,377.002
