,0
love,6055.8385
great,5291.3885
perfect,3566.637
protect,2948.3450000000003
price,2696.793
good,2670.577
case,2572.247
easi,2568.7525
recommend,2525.3285
well,2478.3250000000003
nice,2439.9445
fit,2118.208
veri,2054.699
phone,1990.5445
color,1933.4315
need,1722.1660000000002
best,1621.4655
like,1586.6575
iphon,1577.7035
thank,1536.8780000000002
charg,1505.3905
awesom,1427.3975
high,1422.1145
work,1329.437
happi,1319.7685000000001
realli,1314.199
exact,1310.3395
friend,1305.426
excel,1300.2975
batteri,1195.1325000000002
charger,1180.7465000000002
devic,1126.698
durabl,1116.4565
fast,1093.6325
littl,1087.0695
car,1064.0725
feel,1055.3105
protector,1050.0510000000002
bought,1033.084
daughter,1030.716
far,1027.6355
cute,1015.849
job,1004.7495
gift,976.5705
drop,974.1005
definit,961.7085
look,956.482
more,953.5565
screen,941.8685
keep,938.8299999999999
ipad,921.0885
amaz,916.2095
lot,904.6134999999999
sturdi,890.4985
anyon,884.1525
usb,883.721
galaxi,881.0129999999999
compliment,857.322
wife,853.4185000000001
purchas,846.1564999999999
much,823.4205
neg_problem,817.7080000000001
without,784.713
alway,767.1015
slim,765.5540000000001
cover,752.5245
qualiti,744.5649999999999
product,724.2624999999999
travel,711.7445
quick,709.309
carri,707.6389999999999
tablet,706.1775
extra,700.087
favorit,697.2745
port,697.0235
describ,694.891
still,691.9995
instal,685.466
handi,682.1
power,680.9955
stylus,666.6360000000001
new,656.7475
hold,652.0625
provid,650.6555
again,630.7755
long,628.901
everyon,621.1735
beauti,619.8705
make,616.92
pretti,614.334
husband,614.2365
simpl,599.957
cell,599.0364999999999
time,595.6804999999999
help,592.8119999999999
add,586.368
mani,586.1885
bit,583.2935
beat,582.382
year,580.694
super,578.5935000000001
son,576.6925
valu,574.0385
5,570.2384999999999
everyth,568.7275000000001
enough,567.2325
otterbox,558.255
light,556.9495
satisfi,549.4794999999999
note,549.3294999999999
famili,549.1195
hand,547.0274999999999
no,543.5375
expect,538.5455
grip,528.7445
clear,519.4544999999999
size,517.9875
want,515.053
comfort,514.9540000000001
cabl,513.105
pocket,510.6175
origin,508.64300000000003
neg_bulki,507.6025
snug,507.51050000000004
wonder,507.0105
life,505.3745
purs,504.7195
absolut,503.82649999999995
s3,501.9655
solid,495.28499999999997
conveni,494.262
cool,492.35
glad,488.3565
abl,488.32250000000005
secur,486.428
worri,484.1315
neg_issu,477.386
easier,472.12649999999996
stylish,470.6265
yet,468.3175
stand,467.7755
enjoy,462.69649999999996
bulk,462.3195
pack,459.2355
sever,458.5825
pleas,457.08299999999997
allow,456.761
sleek,454.959
deal,450.2775
strong,448.6545
clean,443.6845
go,442.4985
especi,435.98199999999997
design,435.137
smooth,432.794
complaint,432.6015
neg_complaint,431.434
must,430.82899999999995
pen,428.534
spare,423.69300000000004
fine,423.613
easili,422.57800000000003
featur,418.49850000000004
bluetooth,414.8035
everi,414.416
'm,414.0985
appli,412.425
mount,407.379
s4,405.698
compact,405.0165
nexus,402.5155
overal,399.951
match,397.15500000000003
bulki,391.4525
worth,389.8835
safe,389.23449999999997
home,388.7785
glove,387.075
kid,386.876
fantast,386.803
4,385.9405
plus,382.04449999999997
seem,378.087
ipod,377.7005
kindl,375.028
music,368.4485
card,365.0495
samsung,364.152
fun,361.805
built,358.8175
run,353.783
access,351.98199999999997
mom,344.42
surpris,344.38300000000004
sister,344.33
outlet,342.4615
speaker,339.63750000000005
soft,338.53249999999997
find,334.499
set,331.817
small,331.59999999999997
style,330.87
trip,330.3475
chang,329.3395
fact,329.00649999999996
ad,324.63050000000004
smartphon,324.436
android,318.6695
condit,316.5935
portabl,313.6875
deliveri,313.3045
weight,313.0325
impress,312.24199999999996
afford,311.5745
recharg,306.0865
watch,306.0145
store,305.892
function,305.714
includ,305.2585
everyday,296.465
bright,296.2395
htc,291.7915
found,289.49
4s,288.424
futur,288.1685
cheaper,287.9975
touch,285.9205
anker,285.273
5s,284.49
length,282.62600000000003
inexpens,281.673
neg_worri,281.1675
video,280.66749999999996
appl,279.4445
tell,278.185
alot,276.7435
finish,276.197
extend,275.981
come,275.3685
wall,274.2695
charm,273.921
take,273.19649999999996
dual,271.363
ador,271.2375
room,270.27
around,269.5195
longer,269.498
textur,265.474
lol,265.15299999999996
backup,264.801
sinc,264.56199999999995
wallet,262.57349999999997
drive,261.524
neg_scratch,259.05600000000004
faster,258.3805
play,257.7005
otter,255.6395
smart,253.359
ask,251.5745
compar,251.44050000000001
cloth,250.853
blue,248.0075
matt,246.796
give,245.381
oem,245.059
wish,244.25199999999998
lightweight,243.2765
led,243.034
daili,242.8115
done,242.323
cord,241.2985
pink,240.6055
free,239.17249999999999
offer,238.9775
multipl,236.6025
bonus,235.255
peopl,234.9815
sound,233.064
bag,233.001
old,233.0
flawless,230.7825
mini,228.8775
addit,225.62949999999998
extern,224.40099999999998
christma,224.244
tough,223.245
blackberri,222.8775
headset,221.87
plenti,221.0835
avail,220.496
girl,218.48149999999998
desk,218.01649999999998
flexibl,217.7775
perform,217.254
gps,213.668
neg_bubbl,212.9545
heavi,212.72750000000002
fair,212.216
eleg,212.0325
usual,211.98999999999998
hous,211.9755
buy,211.94699999999997
place,211.9245
game,211.82199999999997
road,211.7665
sure,211.697
s5,208.7175
accessori,208.365
micro,207.36749999999998
surfac,207.08849999999998
holster,206.24599999999998
tool,203.31199999999998
wear,201.6205
eas,201.37449999999998
prefer,200.42
defend,199.1105
rug,196.0135
brother,194.5185
resist,194.42899999999997
standard,193.355
offic,193.0525
listen,192.855
etc,192.5505
advertis,191.1775
bling,191.0545
electron,191.032
amp,190.8805
upgrad,190.4685
tpu,189.638
seen,189.08200000000002
readi,188.9705
white,188.21
vehicl,187.755
slip,186.757
quit,185.803
busi,185.737
’,185.671
full,184.9925
trent,184.5625
recomend,183.71949999999998
profil,183.2225
wireless,183.1385
build,182.609
gadget,182.5195
black,182.3675
user,182.2575
anywher,181.1455
neg_bulk,180.8315
slight,180.66899999999998
droid,180.4475
capac,180.25549999999998
adapt,180.202
unlik,179.761
bed,178.74450000000002
held,178.4845
switch,178.477
attract,177.6205
mobil,175.687
vibrant,175.6605
movi,175.53549999999998
share,174.6885
neg_disappoint,174.09599999999998
choic,174.083
uniqu,173.4885
brought,173.393
purpl,172.7525
ca,172.403
stock,172.2675
glass,172.147
purpos,171.881
neg_add,171.8695
output,171.5325
option,170.49849999999998
order,170.31050000000002
flashlight,169.6055
type,169.52399999999997
import,169.4875
classi,169.0905
gir,168.98600000000002
kickstand,168.42000000000002
girlfriend,167.6035
firm,167.1545
bank,166.2115
camera,165.13750000000002
doubl,164.96200000000002
skeptic,164.575
fingerprint,164.3665
granddaught,164.331
face,164.0205
minor,163.1685
recent,162.6185
earlier,161.656
x,161.19449999999998
expens,161.12349999999998
problem,161.022
sampl,160.5295
kit,158.8855
often,158.72
varieti,158.56
decent,158.123
def,158.053
commut,157.8485
bring,157.202
previous,156.1535
slide,154.2515
arriv,154.1435
outfit,153.88549999999998
saver,153.64999999999998
